"id","tmdb_id","film_title","popularity"
1,11,"Star Wars","88.559"
2,140607,"Star Wars: The Force Awakens","66.772"
3,330459,"Rogue One: A Star Wars Story","33.1"
4,181808,"Star Wars: The Last Jedi","47.241"
5,1893,"Star Wars: Episode I - The Phantom Menace","46.845"
6,1895,"Star Wars: Episode III - Revenge of the Sith","41.215"
7,1894,"Star Wars: Episode II - Attack of the Clones","42.55"
8,181812,"Star Wars: The Rise of Skywalker","89.699"
9,348350,"Solo: A Star Wars Story","55.759"
10,12180,"Star Wars: The Clone Wars","19.221"
11,74849,"The Star Wars Holiday Special","11.853"
12,732670,"LEGO Star Wars Holiday Special","12.071"
13,42979,"Robot Chicken: Star Wars","6.272"
14,857702,"LEGO Star Wars Terrifying Tales","15.58"
15,392216,"Phineas and Ferb: Star Wars","11.461"
16,76180,"Empire of Dreams: The Story of the Star Wars Trilogy","10.191"
17,51888,"Robot Chicken: Star Wars Episode III","6.542"
18,287663,"Star Wars Rebels: Spark of Rebellion","8.233"
19,70608,"LEGO Star Wars: The Padawan Menace","7.124"
20,42982,"Robot Chicken: Star Wars Episode II","6.848"
21,782054,"Doraemon: Nobita's Little Star Wars 2021","14.778"
22,136406,"LEGO Star Wars: The Empire Strikes Out","7.995"
23,337755,"Star Wars Rebels: The Siege of Lothal","6.756"
24,980804,"LEGO Star Wars Summer Vacation","12.282"
25,825647,"Star Wars Biomes","6.491"
26,128295,"Star Wars: The Legacy Revealed","3.689"
27,418363,"Star Wars Rebels: Steps Into Shadow","7.189"
28,667574,"Battle Star Wars","4.99"
29,96697,"Star Wars XXX: A Porn Parody","14.017"
30,161704,"Doraemon: Nobita's Little Star Wars","6.69"
31,72694,"The Making of Star Wars","5.655"
32,81233,"LEGO Star Wars: The Quest for R2-D2","3.318"
33,378386,"Star Wars: Greatest Moments","2.643"
34,81234,"LEGO Star Wars: Revenge of The Brick","2.911"
35,79158,"LEGO Star Wars: Bombad Bounty","2.201"
36,253150,"Plastic Galaxy: The Story of Star Wars Toys","3.097"
37,184902,"Star Wars: The Clone Wars - Darth Maul Returns","3.633"
38,435365,"The Story of Star Wars","2.135"
39,432134,"Star Wars: Heroes & Villains","1.312"
40,35795,"From 'Star Wars' to 'Jedi' : The Making of a Saga","2.785"
41,81418,"Star Wars: Deleted Magic","1.699"
42,72513,"Star Wars: Within a Minute - The Making of Episode III","1.95"
43,72448,"Star Wars: A Musical Journey","2.147"
44,248931,"Star Wars: Droids - The Great Heep","1.812"
45,515773,"Star Wars Spoofs","1.325"
46,376798,"Star Wars: Evolution of the Lightsaber Duel","2.149"
47,956879,"Star Wars Kid: The Rise of the Digital Shadows","1.4"
48,486000,"The Characters of Star Wars","1.751"
49,513406,"Star Wars: The Last Temptation","2.183"
50,358536,"When Star Wars Ruled the World","3.135"
51,430339,"Star Wars Underworld: A XXX Parody","4.074"
52,154452,"Star Wars Tech","2.044"
53,102817,"Quentin Tarantino's Star Wars","0.84"
54,436621,"Star Wars : L'incroyable Légende","1.756"
55,533721,"The Stories: The Making of 'Rogue One: A Star Wars Story'","2.681"
56,207950,"Star Wars: Droids - Treasure of the Hidden Planet","1.163"
57,363132,"Star Wars Begins: A Filmumentary","1.033"
58,277499,"From Star Wars to Star Wars: The Story of Industrial Light & Magic","1.892"
59,292410,"Star Wars: Ewoks - Tales from the Endor Woods","1.534"
60,501244,"Star wars 40 ans","0.6"
61,292404,"Star Wars: Ewoks - The Haunted Village","1.226"
